device,ip,eoj
太陽光発電,192.168.50.11,027901
太陽光発電,192.168.50.11,027902
分電盤,192.168.50.9,028701
電動ブラインド,192.168.50.16,026001
空気清浄機,192.168.50.15,0F4201
エアコン,192.168.50.14,013002
,,028101
DEVICE_028201,192.168.50.11,028201

,,
,,
LIGHT,,
,,

AIRCON,192.168.50.14,013002
AIRCON,192.168.50.14,013002
AIRCON,192.168.50.14,013002
AIRCON,192.168.50.14,013002
,192.168.50.14,013002

BRAIND,192.168.50.16,026001
BRAIND,192.168.50.16,026001
BRAIND,192.168.50.16,026001
BRAIND,192.168.50.16,026001

AIRPURI,192.168.50.15,0F4201
AIRPURI,192.168.50.15,0F4201
AIRPURI,192.168.50.15,0F4201
AIRPURI,192.168.50.15,0F4201
AIRPURI,192.168.50.15,0F4201
